RECORDING_SESSION_LABEL	TRIAL_INDEX	IA_DWELL_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_FIXATION_COUNT	IA_FIXATION_COUNT	IA_ID	IA_LABEL	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	Session_Name_	Trial_Index_	Trial_Recycled_	answerkey	associatedword	associativechunk	condition	correct	correctAnswer	correct_1	group	identifier_1	itemid	qu_1	question	question_1	questiontext	storytopic	targetword	targetwordchunk	text	text_1	trial_1	IA_AREA	IA_BOTTOM	IA_RIGHT	IA_LEFT	IA_TOP
P48LL1	1	42	42	42	1	1	1	An	0	0	0	0	0	0	42	0	168	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	5110,00	198	150	80	125
P48LL1	1	348	168	168	1	2	2	einem	1	1	0	0	0	0	168	0	.	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	7008,00	198	246	150	125
P48LL1	1	168	168	168	1	1	3	Sommertag	1	1	0	0	0	0	168	1	.	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	11680,00	198	406	246	125
P48LL1	1	360	172	172	1	2	4	hatte	1	2	0	0	1	1	172	1	.	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	7008,00	198	502	406	125
P48LL1	1	156	156	156	1	1	5	Oma	0	0	1	1	1	1	328	0	.	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	4672,00	198	566	502	125
P48LL1	1	0	.	.	.	0	6	Gerda	.	.	.	.	.	.	.	1	.	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	7008,00	198	662	566	125
P48LL1	1	204	204	204	1	1	7	ihre	0	0	0	0	0	0	204	1	.	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	5840,00	198	742	662	125
P48LL1	1	588	152	588	3	3	8	Enkelkinder	0	0	0	0	0	0	588	0	.	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	14016,00	198	934	742	125
P48LL1	1	0	.	.	.	0	9	Stefan	.	.	.	.	.	.	.	1	.	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	8176,00	198	1046	934	125
P48LL1	1	176	176	176	1	1	10	und	0	0	0	0	0	0	176	0	216	16718,00	100	P48LL1	1	False	j	Abdichtung	28	everyday_real	f	False	j	L1	practise	18_everyday_real	True	1	Schaute Daniel gerne Cartoons über Ritter?	Hat Oma Gerda ihren Enkeln Tee gemacht?	everyday	Silikon	21	An einem Sommertag hatte Oma Gerda ihre Enkelkinder Stefan und Melanie zum Kaffeetrinken \neingeladen. Die Großmutter hatte bereits Kaffe gekocht und auch Kuchen stand bereit. \nEs war das erste Mal seit der Renovierung, dass die Enkel zu Besuch kamen. \nVorher gab es Probleme mit den alten Fenstern, durch die immer kalter Wind zog. \nAm Rand war offensichtlich kein Silikon benutzt worden, wie man erkennen konnte. \nEs war jedoch versichert worden, dass die Abdichtung sehr hochwertig und langlebig sei. \nGerda hoffte, dass die Heizkosten nun sinken würden. Die Enkel setztensich an den Tisch \nund schnitten sofort den Käsekuchen an. Nach dem Essen halfen sie ihrer Oma, \nden Tisch abzuräumen und setzten sich ans Klavier. Als ihre Oma \nmit Kaffee hereinkam, spielten sie gerade ein Duett.	Der Klassenlehrer, Herr Stahl, erzählte seiner vierten Klasse heute etwas über Ritter.\nJeder durfte sich melden und erzählen, was er schon über Ritter wusste.\nDaniel wusste besonders viel, denn er schaute gerne Cartoons über einen Ritter.\nHerr Stahl hatte heute etwas ganz Besonderes für seine Lieblingsklasse geplant.\nZur Veranschaulichung holte er ein Instrument hervor und legte es auf den Tisch.\nEs handelte sich um ein Werkzeug zur Fertigung der Rüstungen aus dem Mittelalter. \nHerr Stahl erklärte den Schülern, wie diese beeindruckenden Rüstungen den Rittern\nSchutz im Kampf boten. Anschließend gab Herr Stahl den Schülern eine Aufgabe.\nSie sollten nun ihre eigene Ritterrüstung auf ein Blatt malen.\nDaniel zeichnete eine Ritterrüstung, die so aussah wie in dem Cartoon.	2	4672,00	198	1110	1046	125
